SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,August-15-2017,Single Family Residential,11690 SE 62nd St,Bellevue,WA,98006,1206000,4,2.5,Newport Hills,2730,8561,1999,,442,13,Sold,,,https://www.redfin.com/WA/Bellevue/11690-SE-62nd-St-98006/home/414162,NWMLS,1151776,N,Y,47.5474007,-122.184062
PAST SALE,August-15-2017,Single Family Residential,6104 125 th Ave SE,Bellevue,WA,98006,690000,3,2.0,Newport Hills,1689,8884,1962,,409,,Sold,,,https://www.redfin.com/WA/Bellevue/6104-125th-Ave-SE-98006/home/416801,NWMLS,1146204,N,Y,47.5488001,-122.1738719
PAST SALE,August-15-2017,Single Family Residential,16470 SE 61st Pl,Bellevue,WA,98006,1250000,4,2.5,Lakemont,3579,6750,2012,,349,217,Sold,,,https://www.redfin.com/WA/Bellevue/16470-SE-61st-Pl-98006/home/40089382,NWMLS,1142532,N,Y,47.5474366,-122.1203428
PAST SALE,August-15-2017,Single Family Residential,3211 102nd Ave NE,Bellevue,WA,98004,1120000,3,2.0,Clyde Hill,3140,13240,1968,,357,,Sold,,,https://www.redfin.com/WA/Bellevue/3211-102nd-Ave-NE-98004/home/252958,NWMLS,1143693,N,Y,47.6395849,-122.204225
PAST SALE,August-15-2017,Single Family Residential,1345 165th Ave NE,Bellevue,WA,98008,565000,3,1.0,Lake Hills,970,7590,1959,,582,,Sold,,,https://www.redfin.com/WA/Bellevue/1345-165th-Ave-NE-98008/home/499920,NWMLS,1166899,N,Y,47.6222221,-122.1201854
PAST SALE,August-16-2017,Single Family Residential,12523 SE 62nd Pl,Bellevue,WA,98006,870000,4,3.0,Newport Hills,2637,9684,1962,,330,,Sold,,,https://www.redfin.com/WA/Bellevue/12523-SE-62nd-Pl-98006/home/416340,NWMLS,1154160,N,Y,47.5469859,-122.1729827
PAST SALE,August-16-2017,Single Family Residential,118 156 Ave SE,Bellevue,WA,98007,690000,5,4.0,Lake Hills,2650,11830,1960,,260,,Sold,,,https://www.redfin.com/WA/Bellevue/118-156th-Ave-SE-98008/home/427114,NWMLS,1153564,N,Y,47.6084767,-122.1318788
PAST SALE,August-16-2017,Single Family Residential,4740 133rd Ave SE,Bellevue,WA,98006,1225000,4,3.0,Somerset,2720,12250,1973,,450,,Sold,,,https://www.redfin.com/WA/Bellevue/4740-133rd-Ave-SE-98006/home/238259,NWMLS,1155781,N,Y,47.5605972,-122.1629368
PAST SALE,August-17-2017,Single Family Residential,12136 SE 22nd St,Bellevue,WA,98005,1555000,3,3.0,Woodridge,3032,14640,1960,,513,,Sold,,,https://www.redfin.com/WA/Bellevue/12136-SE-22nd-St-98005/home/508675,NWMLS,1150784,N,Y,47.5910264,-122.1762249
PAST SALE,August-17-2017,Single Family Residential,14400 SE 38th St,Bellevue,WA,98006,1350000,5,3.0,Factoria,3360,5726,2017,,402,,Sold,,,https://www.redfin.com/WA/Bellevue/14400-SE-38th-St-98006/home/28623863,NWMLS,1151791,N,Y,47.577207,-122.1479542
