SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,April-23-2021,Single Family Residential,17371 NE 119th Way,Redmond,WA,98052,1500000,4,2.5,Redmond,2530,4560,2006,,593,99,Sold,,,https://www.redfin.com/WA/Redmond/17371-NE-119th-Way-98052/home/2072936,NWMLS,1742688,N,Y,47.7068674,-122.1083825
PAST SALE,April-23-2021,Single Family Residential,9701 132nd Ave NE,Kirkland,WA,98033,1120000,3,2.0,Rose Hill,1180,10875,1966,,949,,Sold,,,https://www.redfin.com/WA/Kirkland/9701-132nd-Ave-NE-98033/home/513212,NWMLS,1745302,N,Y,47.6882603,-122.165147
PAST SALE,April-23-2021,Single Family Residential,18119 NE 91st Ct,Redmond,WA,98052,903888,3,2.5,Avondale,1300,3963,1986,,695,81,Sold,,,https://www.redfin.com/WA/Redmond/18119-NE-91st-Ct-98052/home/443043,NWMLS,1743894,N,Y,47.6825351,-122.0965062
PAST SALE,April-23-2021,Single Family Residential,10438 Eastridge Ln NE,Redmond,WA,98053,1320000,4,2.5,Redmond Ridge,2480,3918,2012,,532,83,Sold,,,https://www.redfin.com/WA/Redmond/10438-Eastridge-Ln-NE-98053/home/44654078,NWMLS,1746237,N,Y,47.6911152,-122.0154502
PAST SALE,April-23-2021,Single Family Residential,16904 NE 105th St,Redmond,WA,98052,730000,3,1.0,Education Hill,990,7200,1968,,737,,Sold,,,https://www.redfin.com/WA/Redmond/16904-NE-105th-St-98052/home/325163,NWMLS,1737969,N,Y,47.6945881,-122.1146566
PAST SALE,April-23-2021,Single Family Residential,18312 NE 92nd Ct,Redmond,WA,98052,829000,3,2.5,Avondale,1300,3182,1985,,638,81,Sold,,,https://www.redfin.com/WA/Redmond/18312-NE-92nd-Ct-98052/home/443923,NWMLS,1748093,N,Y,47.6837123,-122.0957903
PAST SALE,April-26-2021,Single Family Residential,17442 NE 28th St,Redmond,WA,98052,1360000,4,2.5,Microsoft,2230,4000,1999,,610,83,Sold,,,https://www.redfin.com/WA/Redmond/17442-NE-28th-St-98052/home/504236,NWMLS,1744034,N,Y,47.6369128,-122.1073828
PAST SALE,April-26-2021,Single Family Residential,17830 NE 117th Ct,Redmond,WA,98052,1600000,5,3.5,Education Hill,3496,18265,2020,,458,,Sold,,,https://www.redfin.com/WA/Redmond/17830-NE-117th-Ct-98052/home/39904451,NWMLS,1710913,N,Y,47.704851,-122.101343
PAST SALE,April-26-2021,Single Family Residential,3714 259th Way NE,Redmond,WA,98053,1650000,4,2.5,Ames Lake,3330,85328,1997,,495,54,Sold,,,https://www.redfin.com/WA/Redmond/3714-259th-Way-NE-98053/home/447101,NWMLS,1743102,N,Y,47.6410745,-121.9950904
PAST SALE,April-26-2021,Single Family Residential,10917 154th Ave NE,Redmond,WA,98052,1211400,4,3.0,Education Hill,2480,18800,1981,,488,50,Sold,,,https://www.redfin.com/WA/Redmond/10917-154th-Ave-NE-98052/home/324304,NWMLS,1745529,N,Y,47.6985277,-122.1338354
