SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,December-20-2018,Single Family Residential,4625 241st Ave SE,Sammamish,WA,98029,920000,3,2.5,Issaquah/Sammamish,2560,9322,1987,,359,24,Sold,,,https://www.redfin.com/WA/Issaquah/4625-241st-Ave-SE-98029/home/439153,NWMLS,1375857,N,Y,47.5622384,-122.0190481
PAST SALE,December-20-2018,Single Family Residential,23506 SE 36th Ct,Sammamish,WA,98075,1020000,4,3.0,Sammamish,2734,4699,2018,,373,115,Sold,,,https://www.redfin.com/WA/Sammamish/23506-SE-36th-Ct-98075/home/167326811,NWMLS,1385503,N,Y,47.5758609,-122.0240401
PAST SALE,December-20-2018,Single Family Residential,876 212th Ave SE,Sammamish,WA,98075,2200000,4,3.5,Pine Lake,5145,49849,2018,,428,,Sold,,,https://www.redfin.com/WA/Sammamish/876-212th-Ave-SE-98075/home/143457200,NWMLS,1349022,N,Y,47.6007259,-122.0563259
PAST SALE,December-20-2018,Single Family Residential,3337 259th Pl SE,Sammamish,WA,98075,1170000,4,2.5,Sammamish,3528,13208,1990,,332,25,Sold,,,https://www.redfin.com/WA/Issaquah/3337-259th-Pl-SE-98075/home/439598,NWMLS,1360893,N,Y,47.5795937,-121.9938659
PAST SALE,December-20-2018,Single Family Residential,879 224th Ave NE Lot 14,Sammamish,WA,98074,997957,3,3.5,East Lake Sammamish,2837,3434,2018,,352,77,Sold,,,https://www.redfin.com/WA/Sammamish/879-224th-Ave-NE-98074/unit-14/home/144404385,NWMLS,1222874,N,Y,47.6172104,-122.0402733
PAST SALE,December-21-2018,Single Family Residential,1406 241st St NE Lot 66,Sammamish,WA,98074,1256935,4,3.0,Sammamish,2976,5118,2018,,422,80,Sold,,,https://www.redfin.com/WA/Sammamish/1406-241st-Ave-NE-98074/unit-66/home/143717025,NWMLS,1188486,N,Y,47.6223754,-122.0170132
PAST SALE,,Single Family Residential,4715 244th Ct SE,Issaquah,WA,98029,990582,5,4.0,,2890,3090,2018,,343,,,,,https://www.redfin.com/WA/Issaquah/4715-244th-Ct-SE-98029/home/143457283,,,N,Y,47.5597262,-122.0136857
PAST SALE,December-21-2018,Single Family Residential,811 211th Pl NE,Sammamish,WA,98074,580000,3,2.0,Inglewood,1400,10000,1983,,414,,Sold,,,https://www.redfin.com/WA/Sammamish/811-211th-Pl-NE-98074/home/269079,NWMLS,1381813,N,Y,47.6170087,-122.0588465
PAST SALE,December-21-2018,Single Family Residential,3408 221st Ave SE,Sammamish,WA,98075,783000,4,2.5,Sammamish,1790,12220,1978,,437,,Sold,,,https://www.redfin.com/WA/Sammamish/3408-221st-Ave-SE-98075/home/435616,NWMLS,1389286,N,Y,47.5791455,-122.0439713
PAST SALE,December-21-2018,Single Family Residential,2228 275th Ct SE,Sammamish,WA,98075,1163855,5,3.0,Trossachs,3701,13560,1996,,314,55,Sold,,,https://www.redfin.com/WA/Sammamish/2228-275th-Ct-SE-98075/home/438304,NWMLS,1352249,N,Y,47.5888982,-121.9725227
PAST SALE,December-24-2018,Single Family Residential,3021 206th Way NE,Sammamish,WA,98074,1030000,4,2.5,Timberline,3034,6063,1999,,339,52,Sold,,,https://www.redfin.com/WA/Sammamish/3021-206th-Way-NE-98074/home/263914,NWMLS,1372947,N,Y,47.6366834,-122.0635997
PAST SALE,December-27-2018,Single Family Residential,2524 248th Ter NE,Redmond,WA,98074,810000,4,3.0,Sammamish,2480,6570,2002,,327,42,Sold,,,https://www.redfin.com/WA/Redmond/2524-248th-Ter-NE-98074/home/262941,NWMLS,1386544,N,Y,47.6322209,-122.0067223
PAST SALE,December-27-2018,Single Family Residential,23236 NE 21st Pl,Sammamish,WA,98074,955000,3,2.5,Sammamish,3000,9361,1987,,318,13,Sold,,,https://www.redfin.com/WA/Sammamish/23236-NE-21st-Pl-98074/home/264813,NWMLS,1385527,N,Y,47.6287184,-122.0290899
PAST SALE,December-27-2018,Single Family Residential,3853 223rd Ave SE,Sammamish,WA,98075,1568133,5,5.5,Sammamish,4526,6792,2019,,346,205,Sold,,,https://www.redfin.com/WA/Sammamish/3853-223rd-Ave-SE-98075/home/145708757,NWMLS,1287012,N,Y,47.574679,-122.042108
PAST SALE,,Single Family Residential,23577 SE 45th Pl,Sammamish,WA,98075,1172512,3,2.5,,3130,5000,2017,,375,,,,,https://www.redfin.com/WA/Sammamish/23577-SE-45th-Pl-98075/home/143458126,,,N,Y,47.56344,-122.025285
PAST SALE,December-27-2018,Single Family Residential,23577 SE 45th Pl Lot 15,Sammamish,WA,98075,1184012,4,3.0,Issaquah/Sammamish,3007,5000,2018,,394,88,Sold,,,https://www.redfin.com/WA/Sammamish/23577-SE-45th-Ct-98075/unit-15/home/145248538,NWMLS,1266109,N,Y,47.5633538,-122.0318438
PAST SALE,December-28-2018,Single Family Residential,22764 SE 33rd Ct #3,Sammamish,WA,98075,1165000,5,3.5,Plateau,3376,8636,2018,,345,,Sold,,,https://www.redfin.com/WA/Sammamish/22764-SE-33rd-Ct-98075/unit-3/home/147297119,NWMLS,1366176,N,Y,47.579783,-122.036089
PAST SALE,December-28-2018,Single Family Residential,21505 SE 24th St,Sammamish,WA,98075,735000,3,3.0,Pine Lake,2000,11880,1979,,368,,Sold,,,https://www.redfin.com/WA/Sammamish/21505-SE-24th-St-98075/home/435832,NWMLS,1359118,N,Y,47.588169,-122.0521466
PAST SALE,December-28-2018,Single Family Residential,452 245th Ave SE,Sammamish,WA,98074,1045000,4,3.0,Plateau,3250,10663,1999,,322,,Sold,,,https://www.redfin.com/WA/Sammamish/452-245th-Ave-SE-98074/home/434613,NWMLS,1379081,N,Y,47.6037373,-122.0129361
PAST SALE,December-28-2018,Single Family Residential,3806 230th Ct SE,Sammamish,WA,98075,830000,6,3.0,Sammamish,3270,34000,1979,,254,,Sold,,,https://www.redfin.com/WA/Sammamish/3806-230th-Ct-SE-98075/home/268414,NWMLS,1311389,N,Y,47.5751783,-122.0308089
PAST SALE,December-28-2018,Single Family Residential,22742 SE 33rd Ct #2,Sammamish,WA,98075,1220000,4,3.0,Plateau,3601,9156,2018,,339,,Sold,,,https://www.redfin.com/WA/Sammamish/22742-SE-33rd-Ct-98075/unit-2/home/147297092,NWMLS,1362797,N,Y,47.579898,-122.036509
PAST SALE,December-28-2018,Single Family Residential,3212 263rd Ct SE,Sammamish,WA,98075,1120000,4,2.5,Sammamish,3580,58592,1991,,313,25,Sold,,,https://www.redfin.com/WA/Issaquah/3212-263rd-Ct-SE-98075/home/437139,NWMLS,1330592,N,Y,47.5800629,-121.9852907
PAST SALE,December-28-2018,Single Family Residential,5115 188th Pl NE,Sammamish,WA,98074,1686000,5,5.0,Sammamish,5770,17937,1997,,292,44,Sold,,,https://www.redfin.com/WA/Sammamish/5115-188th-Pl-NE-98074/home/265603,NWMLS,1375523,N,Y,47.6534649,-122.089303
PAST SALE,December-28-2018,Single Family Residential,907 231st Pl NE,Sammamish,WA,98074,731000,3,3.0,Sammamish,2426,27128,2004,,301,,Sold,,,https://www.redfin.com/WA/Sammamish/907-231st-Pl-NE-98074/home/266473,NWMLS,1333257,N,Y,47.617553,-122.0309153
PAST SALE,,Single Family Residential,23546 SE 45th Pl,Sammamish,WA,98075,1150000,4,2.5,,3610,5118,2018,,319,,,,,https://www.redfin.com/WA/Sammamish/23546-SE-45th-Pl-98075/home/143458122,,,N,Y,47.5637705,-122.0257048
PAST SALE,December-31-2018,Single Family Residential,23546 SE 45th Pl Lot 11,Sammamish,WA,98075,1199990,5,3.5,Issaquah/Sammamish,3577,5118,2018,,335,88,Sold,,,https://www.redfin.com/WA/Sammamish/23546-SE-45th-Pl-98075/unit-11/home/144453964,NWMLS,1377869,N,Y,47.563724,-122.0257047
PAST SALE,December-31-2018,Single Family Residential,21123 SE 42nd St,Sammamish,WA,98075,1800000,4,4.5,Lake Sammamish,4200,76665,1979,,429,,Sold,,,https://www.redfin.com/WA/Sammamish/21123-SE-42nd-St-98075/home/267933,NWMLS,1355006,N,Y,47.569732,-122.05805
PAST SALE,December-31-2018,Single Family Residential,1818 211th Way NE,Sammamish,WA,98074,655000,4,3.0,Sammamish,1960,8075,1982,,334,,Sold,,,https://www.redfin.com/WA/Sammamish/1818-211th-Way-NE-98074/home/263007,NWMLS,1344041,N,Y,47.6266043,-122.0601448
PAST SALE,January-2-2019,Single Family Residential,506 Glacier Walk SE,Sammamish,WA,98074,870000,4,3.5,Sammamish,2070,1268,2018,,420,95,Sold,,,https://www.redfin.com/WA/Sammamish/506-Glacier-Walk-SE-98074/home/143458015,NWMLS,1297656,N,Y,47.6041747,-122.0337355
PAST SALE,January-2-2019,Single Family Residential,1239 235th Ct NE,Sammamish,WA,98074,950000,4,3.5,Sammamish,2890,5657,2006,,329,75,Sold,,,https://www.redfin.com/WA/Sammamish/1239-235th-Ct-NE-98074/home/2072039,NWMLS,1390149,N,Y,47.6208918,-122.0258199
PAST SALE,January-2-2019,Single Family Residential,20715 SE 3rd Way,Sammamish,WA,98074,1045000,4,2.5,Plateau,3200,21324,1995,,327,30,Sold,,,https://www.redfin.com/WA/Sammamish/20715-SE-3rd-Way-98074/home/266692,NWMLS,1356061,N,Y,47.607512,-122.0640874
