SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,July-9-2018,Single Family Residential,1922 235th St SE,Bothell,WA,98021,705000,4,2.5,Bothell,2160,10890,1986,,326,,Sold,,,https://www.redfin.com/WA/Bothell/1922-235th-St-SE-98021/home/2804263,NWMLS,1303092,N,Y,47.7844997,-122.206224
PAST SALE,July-9-2018,Single Family Residential,20626 11th Dr SE,Bothell,WA,98012,551000,4,3.0,Thrashers Corner,2148,7405,1977,,257,,Sold,,,https://www.redfin.com/WA/Bothell/20626-11th-Dr-SE-98012/home/2776492,NWMLS,1307224,N,Y,47.8105083,-122.2177494
PAST SALE,July-9-2018,Single Family Residential,2023 237th St SE,Bothell,WA,98021,685000,4,2.5,Bothell,2248,9148,1986,,305,,Sold,,,https://www.redfin.com/WA/Bothell/2023-237th-St-SE-98021/home/2807191,NWMLS,1278967,N,Y,47.7836587,-122.2049366
PAST SALE,July-10-2018,Single Family Residential,18312 3rd Dr SE,Bothell,WA,98012,769950,5,3.0,North Bothell,3392,4440,2018,,227,20,Sold,,,https://www.redfin.com/WA/Bothell/18312-3rd-Dr-SE-98012/home/145230953,NWMLS,1263771,N,Y,47.8317841,-122.2273054
PAST SALE,July-10-2018,Single Family Residential,19811 2nd Dr SE,Bothell,WA,98012,639800,4,3.0,Bothell,2225,3471,2013,,288,43,Sold,,,https://www.redfin.com/WA/Bothell/19811-2nd-Dr-SE-98012/home/40451113,NWMLS,1302263,N,Y,47.8186817,-122.2282514
PAST SALE,July-10-2018,Single Family Residential,18625 12th Dr SE,Bothell,WA,98012,720000,5,2.5,Bothell,3034,4792,2005,,237,35,Sold,,,https://www.redfin.com/WA/Bothell/18625-12th-Dr-SE-98012/home/2910625,NWMLS,1304843,N,Y,47.8286644,-122.2154583
PAST SALE,July-10-2018,Single Family Residential,1823 175th Pl SE,Bothell,WA,98012,625000,4,3.0,Mill Creek,2291,12197,1978,,273,,Sold,,,https://www.redfin.com/WA/Bothell/1823-175th-Pl-SE-98012/home/2778247,NWMLS,1306573,N,Y,47.8389378,-122.2074905
PAST SALE,July-10-2018,Single Family Residential,19307 Meridian Pl W,Bothell,WA,98012,658000,4,2.5,Bothell,2381,9583,1996,,276,21,Sold,,,https://www.redfin.com/WA/Bothell/19307-Meridian-Pl-W-98012/home/2848337,NWMLS,1292662,N,Y,47.8229253,-122.2326615
PAST SALE,July-10-2018,Single Family Residential,18026 29th Dr SE,Bothell,WA,98012,650000,3,2.5,Bothell,1749,3049,2009,,372,55,Sold,,,https://www.redfin.com/WA/Bothell/18026-29th-Ave-SE-98012/home/21499936,NWMLS,1309621,N,Y,47.8338585,-122.1934012
PAST SALE,July-10-2018,Single Family Residential,17804 36th Ave SE,Bothell,WA,98012,710000,4,2.5,Bothell,2414,2799,2015,,294,60,Sold,,,https://www.redfin.com/WA/Bothell/17804-36th-Ave-SE-98012/unit-3019/home/59706593,NWMLS,1276398,N,Y,47.836316,-122.18468
PAST SALE,July-10-2018,Single Family Residential,428 170th Pl SE,Bothell,WA,98012,536180,4,2.5,Mill Creek,1942,4356,2002,,276,,Sold,,,https://www.redfin.com/WA/Bothell/428-170th-Pl-SE-98012/home/2897077,NWMLS,1305965,N,Y,47.8436697,-122.2250161
PAST SALE,July-10-2018,Single Family Residential,18331 35th Dr SE,Bothell,WA,98012,583000,3,2.5,North Bothell,1740,2357,2006,,335,107,Sold,,,https://www.redfin.com/WA/Bothell/18331-35th-Dr-SE-98012/home/12176196,NWMLS,1294411,N,Y,47.8311868,-122.1853373
PAST SALE,July-11-2018,Single Family Residential,18224 28th Dr SE,Bothell,WA,98012,618000,3,2.5,Bothell,1860,5000,2003,,332,59,Sold,,,https://www.redfin.com/WA/Bothell/18224-28th-Dr-SE-98012/home/2895124,NWMLS,1306729,N,Y,47.8320041,-122.1950702
