ADDRESS,URL,SOLD DATE,SOLD DATE MONTH,ZIP OR POSTAL CODE,YEAR BUILT,$/SQUARE FEET,$/SQUARE FEET Adjusted
3910 240th Pl SE,https://www.redfin.com/WA/Issaquah/3910-240th-Pl-SE-98029/home/438184,November-29-2018,November-2018,98029,1989,321,354
24062 NE 20th St,https://www.redfin.com/WA/Sammamish/24062-NE-20th-St-98074/home/22439789,November-29-2018,November-2018,98074,2018,388,392
1438 243rd Ter NE Lot 51,https://www.redfin.com/WA/Sammamish/1438-243rd-Pl-NE-98074/unit-51/home/113677517,November-29-2018,November-2018,98074,2017,327,332
4102 235th Pl SE,https://www.redfin.com/WA/Sammamish/4102-235th-Pl-SE-98075/home/145135020,November-30-2018,November-2018,98075,2018,367,371
3623 219th Pl SE,https://www.redfin.com/WA/Sammamish/3623-219th-Pl-SE-98075/home/436319,November-30-2018,November-2018,98075,1980,318,360
1321 254th Pl SE,https://www.redfin.com/WA/Issaquah/1321-254th-Pl-SE-98075/home/436518,December-3-2018,December-2018,98075,1987,300,335
24280 NE 26th Ct,https://www.redfin.com/WA/Redmond/24280-NE-26th-Ct-98074/home/45463919,December-4-2018,December-2018,98074,2013,365,374
24521 SE 43rd Pl,https://www.redfin.com/WA/Issaquah/24521-SE-43rd-Pl-98029/home/440060,December-5-2018,December-2018,98029,1987,398,433
23418 NE 22nd St,https://www.redfin.com/WA/Sammamish/23418-NE-22nd-St-98074/home/264749,December-5-2018,December-2018,98074,1989,317,350
842 208th Ave NE,https://www.redfin.com/WA/Sammamish/842-208th-Ave-NE-98074/home/268169,December-5-2018,December-2018,98074,2003,277,296
24316 SE 42nd St,https://www.redfin.com/WA/Issaquah/24316-SE-42nd-St-98029/home/438576,December-6-2018,December-2018,98029,1987,338,373
2721 223rd Ave NE,https://www.redfin.com/WA/Sammamish/2721-223rd-Ave-NE-98074/home/263402,December-6-2018,December-2018,98074,1983,277,316
22037 NE 12th Pl,https://www.redfin.com/WA/Sammamish/22037-NE-12th-Pl-98074/home/264720,December-6-2018,December-2018,98074,1983,346,385
21275 SE 40th St,https://www.redfin.com/WA/Sammamish/21275-SE-40th-St-98075/home/269124,December-6-2018,December-2018,98075,1998,539,563
24304 E Main Dr,https://www.redfin.com/WA/Sammamish/24304-E-Main-Dr-98074/home/265753,December-7-2018,December-2018,98074,1999,393,416
24716 SE 45th Way,https://www.redfin.com/WA/Issaquah/24716-SE-45th-Way-98029/home/439854,December-7-2018,December-2018,98029,1988,430,464
25225 SE 31st Pl,https://www.redfin.com/WA/Sammamish/25225-SE-31st-Pl-98075/home/434999,December-7-2018,December-2018,98075,1974,360,408
26610 SE 9th Way,https://www.redfin.com/WA/Sammamish/26610-SE-9th-Way-98075/home/101611042,December-8-2018,December-2018,98075,2018,401,405
4111 236th Pl SE,https://www.redfin.com/WA/Sammamish/4111-236th-Pl-SE-98075/home/167326795,December-10-2018,December-2018,98075,2018,408,412
