ADDRESS,URL,SOLD DATE,SOLD DATE MONTH,ZIP OR POSTAL CODE,YEAR BUILT,$/SQUARE FEET,$/SQUARE FEET Adjusted
12515 NE 153rd Pl 125,https://www.redfin.com/WA/Woodinville/12515-NE-153rd-Pl-98072/unit-125/home/144477168,March-29-2018,March-2018,98072,2017,347,352
17052 143rd Pl NE,https://www.redfin.com/WA/Woodinville/17052-143rd-Pl-NE-98072/home/44657523,March-29-2018,March-2018,98072,2015,307,314
20907 NE 156th St,https://www.redfin.com/WA/Woodinville/20907-NE-156th-St-98077/home/273066,March-29-2018,March-2018,98077,1998,324,348
12516 NE 153rd Pl 131,https://www.redfin.com/WA/Woodinville/12516-NE-153rd-Pl-98072/unit-131/home/144623782,March-30-2018,March-2018,98072,2017,333,338
12600 NE 154th St,https://www.redfin.com/WA/Woodinville/12600-NE-154th-St-98072/home/455260,March-30-2018,March-2018,98072,1976,325,371
12510 NE 153rd Pl 132,https://www.redfin.com/WA/Woodinville/12510-NE-153rd-Pl-98072/unit-132/home/144818606,March-30-2018,March-2018,98072,2018,336,340
15120 125th Pl NE 108,https://www.redfin.com/WA/Woodinville/15120-125th-Pl-NE-98072/unit-108/home/144822877,March-30-2018,March-2018,98072,2018,319,323
17340 155th Pl NE,https://www.redfin.com/WA/Woodinville/17340-155th-Pl-NE-98072/home/449278,March-30-2018,March-2018,98072,1975,446,493
12713 NE 150th St 26,https://www.redfin.com/WA/Woodinville/12713-NE-150th-St-98072/unit-26/home/144767393,March-30-2018,March-2018,98072,2018,355,359
20804 NE 165th St,https://www.redfin.com/WA/Woodinville/20804-NE-165th-St-98077/home/271942,March-30-2018,March-2018,98077,1993,390,419
16606 122nd Pl NE,https://www.redfin.com/WA/Bothell/16606-122nd-Pl-NE-98011/home/113995204,March-30-2018,March-2018,98011,2017,264,269
19735 NE 127th Pl,https://www.redfin.com/WA/Woodinville/19735-NE-127th-Pl-98077/home/451922,April-2-2018,April-2018,98077,1990,398,430
21123 NE 127 Ct,https://www.redfin.com/WA/Woodinville/21123-NE-127th-Ct-98077/home/2084223,April-3-2018,April-2018,98077,2014,431,439
12714 198th Dr NE,https://www.redfin.com/WA/Woodinville/12714-198th-Dr-NE-98077/home/452445,April-3-2018,April-2018,98077,1990,342,374
14743 NE 178th St,https://www.redfin.com/WA/Woodinville/14743-NE-178th-St-98072/home/271724,April-4-2018,April-2018,98072,1987,416,451
17903 218th Ave NE,https://www.redfin.com/WA/Woodinville/17903-218th-Ave-NE-98077/home/271993,April-5-2018,April-2018,98077,1998,297,321
15714 NE 203rd Pl,https://www.redfin.com/WA/Woodinville/15714-NE-203rd-Pl-98072/home/271296,April-9-2018,April-2018,98072,1984,351,389
18664 168th Ave NE,https://www.redfin.com/WA/Woodinville/18664-168th-Ave-NE-98072/home/144466487,April-10-2018,April-2018,98072,2018,341,345
17110 NE 202nd Pl,https://www.redfin.com/WA/Woodinville/17110-NE-202nd-Pl-98072/home/271201,April-12-2018,April-2018,98072,1989,396,429
18108 228th Ave NE,https://www.redfin.com/WA/Woodinville/18108-228th-Ave-NE-98077/home/272357,April-13-2018,April-2018,98077,1988,433,467
7509 227th St SE,https://www.redfin.com/WA/Woodinville/7509-227th-St-SE-98072/home/2818835,April-13-2018,April-2018,98072,1989,326,359
15048 127th Pl NE 39,https://www.redfin.com/WA/Woodinville/15048-127th-Pl-NE-98072/unit-39/home/144767411,April-13-2018,April-2018,98072,2018,328,332
17227 197th Ave NE,https://www.redfin.com/WA/Woodinville/17227-197th-Ave-NE-98077/home/272684,April-13-2018,April-2018,98077,1977,291,336
13137 NE 203rd Pl,https://www.redfin.com/WA/Woodinville/13137-NE-203rd-Pl-98072/home/288052,April-17-2018,April-2018,98072,1989,335,368
12427 NE 157th St,https://www.redfin.com/WA/Woodinville/12427-NE-157th-St-98072/home/453898,April-17-2018,April-2018,98072,1969,478,531
15332 182nd Pl NE,https://www.redfin.com/WA/Woodinville/15332-182nd-Pl-NE-98072/home/450878,April-18-2018,April-2018,98072,1984,382,420
17205 204th Ave NE,https://www.redfin.com/WA/Woodinville/17205-204th-Ave-NE-98077/home/273139,April-18-2018,April-2018,98077,1978,276,320
21010 NE 165th St,https://www.redfin.com/WA/Woodinville/21010-NE-165th-St-98077/home/271999,April-19-2018,April-2018,98077,1999,252,275
19543 129th Pl NE,https://www.redfin.com/WA/Bothell/19543-129th-Pl-NE-98011/home/287527,April-19-2018,April-2018,98011,1977,307,352
14816 137th Ln NE,https://www.redfin.com/WA/Woodinville/14816-137th-Ln-NE-98072/home/455413,April-20-2018,April-2018,98072,1994,265,293
12939 NE 195th Pl,https://www.redfin.com/WA/Bothell/12939-NE-195th-Pl-98011/home/287635,April-20-2018,April-2018,98011,1977,431,476
14129 Avondale Rd NE,https://www.redfin.com/WA/Woodinville/14129-Avondale-Rd-NE-98072/home/450169,April-20-2018,April-2018,98072,1981,613,654
15506 NE 179th St,https://www.redfin.com/WA/Woodinville/15506-NE-179th-St-98072/home/449314,April-23-2018,April-2018,98072,1983,391,430
19301 224th Ct NE,https://www.redfin.com/WA/Woodinville/19301-224th-Ct-NE-98077/home/271971,April-23-2018,April-2018,98077,1986,313,349
16454 NE 135th St,https://www.redfin.com/WA/Redmond/16454-NE-135th-St-98052/home/451387,April-24-2018,April-2018,98052,1984,384,422
17531 237th Pl NE,https://www.redfin.com/WA/Woodinville/17531-237th-Pl-NE-98077/home/272513,April-24-2018,April-2018,98077,1998,409,433
21820 NE 164th St,https://www.redfin.com/WA/Woodinville/21820-NE-164th-St-98077/home/273571,April-24-2018,April-2018,98077,1977,269,314
12409 NE 153rd Pl 145,https://www.redfin.com/WA/Woodinville/12409-NE-153rd-Pl-98072/unit-145/home/144825418,April-24-2018,April-2018,98072,2018,290,294
19408 133rd Ct NE,https://www.redfin.com/WA/Woodinville/19408-133rd-Ct-NE-98072/home/287750,April-24-2018,April-2018,98072,1947,307,382
16404 209th Ave NE,https://www.redfin.com/WA/Woodinville/16404-209th-Ave-NE-98077/home/272481,April-25-2018,April-2018,98077,1969,346,399
15123 126th Ave NE 97,https://www.redfin.com/WA/Woodinville/15123-126th-Ave-NE-98072/unit-97/home/144478823,April-25-2018,April-2018,98072,2017,321,326
20403 NE 198th St,https://www.redfin.com/WA/Woodinville/20403-NE-198th-St-98077/home/273520,April-26-2018,April-2018,98077,1935,311,398
21933 NE 140th Way,https://www.redfin.com/WA/Woodinville/21933-NE-140th-Way-98077/home/451758,April-27-2018,April-2018,98077,1988,369,403
15106 124th Pl NE 119,https://www.redfin.com/WA/Woodinville/15106-124th-Pl-NE-98072/unit-119/home/144572364,April-27-2018,April-2018,98072,2018,318,322
18913 222nd Way NE,https://www.redfin.com/WA/Woodinville/18913-222nd-Way-NE-98077/home/273307,April-27-2018,April-2018,98077,1992,338,368
20325 156th Ave NE,https://www.redfin.com/WA/Woodinville/20325-156th-Ave-NE-98072/home/271181,April-30-2018,April-2018,98072,1976,296,342
12717 NE 150th St 27,https://www.redfin.com/WA/Woodinville/12717-NE-150th-St-98072/unit-27/home/144767392,April-30-2018,April-2018,98072,2018,373,377
16045 179th Pl NE,https://www.redfin.com/WA/Woodinville/16045-179th-Pl-NE-98072/home/269571,April-30-2018,April-2018,98072,1970,500,552
18214 NE 189th St,https://www.redfin.com/WA/Woodinville/18214-NE-189th-St-98077/home/274142,May-1-2018,May-2018,98077,1975,381,428
14239 212th Dr NE,https://www.redfin.com/WA/Woodinville/14239-212th-Dr-NE-98077/home/452265,May-1-2018,May-2018,98077,1989,362,395
22212 Highway 9 SE,https://www.redfin.com/WA/Woodinville/22212-WA-9-98072/home/2595432,May-1-2018,May-2018,98072,1998,278,302
19818 NE 160th Pl,https://www.redfin.com/WA/Woodinville/19818-NE-160th-Pl-98077/home/270498,May-3-2018,May-2018,98077,2001,320,341
20532 NE 126th Way,https://www.redfin.com/WA/Woodinville/20532-NE-126th-Way-98077/home/452019,May-3-2018,May-2018,98077,2001,376,397
18915 NE 140th Pl,https://www.redfin.com/WA/Woodinville/18915-NE-140th-Pl-98072/home/450808,May-4-2018,May-2018,98072,2002,269,289
14826 156th Pl NE,https://www.redfin.com/WA/Woodinville/14826-156th-Pl-NE-98072/home/448371,May-4-2018,May-2018,98072,1978,337,381
12402 NE 153rd Pl 142,https://www.redfin.com/WA/Woodinville/12402-NE-153rd-Pl-98072/unit-142/home/144870676,May-4-2018,May-2018,98072,2018,299,303
17317 145th Ave NE,https://www.redfin.com/WA/Woodinville/17317-145th-Ave-NE-98072/home/271020,May-7-2018,May-2018,98072,1979,250,293
19711 NE 165th St,https://www.redfin.com/WA/Woodinville/19711-NE-165th-St-98077/home/269787,May-7-2018,May-2018,98077,1978,263,307
15242 NE Woodinville Duvall Rd,https://www.redfin.com/WA/Woodinville/15242-NE-Woodinville-Duvall-Rd-98072/home/270820,May-10-2018,May-2018,98072,1963,300,359
15153 127th Pl NE 61,https://www.redfin.com/WA/Woodinville/15153-127th-Pl-NE-98072/unit-61/home/144798717,May-10-2018,May-2018,98072,2018,324,328
12439 NE 153rd Pl 155,https://www.redfin.com/WA/Woodinville/12439-NE-153rd-Pl-98072/unit-155/home/144863493,May-10-2018,May-2018,98072,2018,368,372
14655 NE 179th St,https://www.redfin.com/WA/Woodinville/14655-NE-179th-St-98072/home/270996,May-10-2018,May-2018,98072,1981,236,277
22515 NE 191st Ct,https://www.redfin.com/WA/Woodinville/22515-NE-191st-Ct-98077/home/273605,May-14-2018,May-2018,98077,1986,263,299
12427 NE 153rd Pl 157,https://www.redfin.com/WA/Woodinville/12427-NE-153rd-Pl-98072/unit-157/home/144896674,May-14-2018,May-2018,98072,2018,340,344
12415 NE 153rd Pl 144,https://www.redfin.com/WA/Woodinville/12415-NE-153rd-Pl-98072/unit-144/home/144815891,May-14-2018,May-2018,98072,2018,328,332
21310 NE 189th St,https://www.redfin.com/WA/Woodinville/21310-NE-189th-St-98077/home/271975,May-14-2018,May-2018,98077,1996,255,281
14617 134th Ave NE,https://www.redfin.com/WA/Woodinville/14617-134th-Ave-NE-98072/home/453910,May-14-2018,May-2018,98072,1989,375,408
12433 NE 153rd Pl 156,https://www.redfin.com/WA/Woodinville/12433-NE-153rd-Pl-98072/unit-156/home/144547527,May-15-2018,May-2018,98072,2017,323,328
15109 125th Pl NE 111,https://www.redfin.com/WA/Woodinville/15109-125th-Pl-NE-98072/unit-111/home/144547623,May-15-2018,May-2018,98072,2018,376,380
14221 212th Dr NE,https://www.redfin.com/WA/Woodinville/14221-212th-Dr-NE-98077/home/452268,May-15-2018,May-2018,98077,1990,363,395
20118 NE 186th Ct,https://www.redfin.com/WA/Woodinville/20118-NE-186th-Ct-98077/home/273652,May-16-2018,May-2018,98077,1995,242,269
16712 NE 169th Ct,https://www.redfin.com/WA/Woodinville/16712-NE-169th-Ct-98072/home/2100036,May-16-2018,May-2018,98072,2006,277,293
16708 150th Ct NE,https://www.redfin.com/WA/Woodinville/16708-NE-150th-Ct-98072/home/448024,May-16-2018,May-2018,98072,1988,378,412
