ADDRESS,URL,SOLD DATE,SOLD DATE MONTH,ZIP OR POSTAL CODE,YEAR BUILT,$/SQUARE FEET,$/SQUARE FEET Adjusted
16005 NE 105th Ct,https://www.redfin.com/WA/Redmond/16005-NE-105th-Ct-98052/home/323071,August-21-2020,August-2020,98052,1980,588,630
4516 159th Ave NE,https://www.redfin.com/WA/Redmond/4516-159th-Ave-NE-98052/home/502474,August-21-2020,August-2020,98052,1978,557,601
21226 NE 132nd Ct,https://www.redfin.com/WA/Woodinville/21226-NE-132nd-Ct-98077/home/452189,August-21-2020,August-2020,98077,1998,377,401
15827 NE 110th St,https://www.redfin.com/WA/Redmond/15827-NE-110th-St-98052/home/322905,August-21-2020,August-2020,98052,1971,697,748
24147 NE 112th Ln,https://www.redfin.com/WA/Redmond/24147-NE-112th-Ln-98053/unit-154/home/25674432,August-21-2020,August-2020,98053,2009,302,315
6314 143rd Ave NE,https://www.redfin.com/WA/Redmond/6314-143rd-Ave-NE-98052/home/514385,August-24-2020,August-2020,98052,1969,505,558
15016 NE 66th St,https://www.redfin.com/WA/Redmond/15016-NE-66th-St-98052/home/515185,August-24-2020,August-2020,98052,1967,668,723
5508 162nd Ave NE,https://www.redfin.com/WA/Redmond/5508-162nd-Ave-NE-98052/home/503073,August-24-2020,August-2020,98052,1968,563,617
9709 173rd Ct NE,https://www.redfin.com/WA/Redmond/9709-173rd-Ct-NE-98052/home/322711,August-24-2020,August-2020,98052,1999,425,448
17801 NE 117th Ct,https://www.redfin.com/WA/Redmond/17801-NE-117th-Ct-98052/home/39904445,August-24-2020,August-2020,98029,2019,331,334
5707 238th Pl NE,https://www.redfin.com/WA/Redmond/5707-238th-Pl-NE-98053/home/443812,August-24-2020,August-2020,98053,1999,396,419
7322 259th Pl NE,https://www.redfin.com/WA/Redmond/7322-259th-Pl-NE-98053/home/447205,August-25-2020,August-2020,98053,1999,468,491
12080 159th Ct NE,https://www.redfin.com/WA/Redmond/12080-159th-Ct-NE-98052/home/168843312,August-25-2020,August-2020,98052,2020,457,459
21411 NE 60th Pl,https://www.redfin.com/WA/Redmond/21411-NE-60th-Pl-98053/home/444358,August-25-2020,August-2020,98053,1984,254,292
17015 NE 136th Pl,https://www.redfin.com/WA/Redmond/17015-NE-136th-Pl-98052/home/449567,August-25-2020,August-2020,98052,1984,380,418
3109 181st Ave NE,https://www.redfin.com/WA/Redmond/3109-181st-Ave-NE-98052/home/505571,August-25-2020,August-2020,98052,2001,404,425
22829 NE 97th Pl,https://www.redfin.com/WA/Redmond/22829-NE-97th-Pl-98053/home/444831,August-25-2020,August-2020,98053,2001,353,374
15626 NE 107th Ct,https://www.redfin.com/WA/Redmond/15626-NE-107th-Ct-98052/home/324633,August-26-2020,August-2020,98052,1980,462,504
2205 182nd Ave NE,https://www.redfin.com/WA/Redmond/2205-182nd-Ave-NE-98052/home/505608,August-27-2020,August-2020,98052,1966,502,558
13403 Redmond Way,https://www.redfin.com/WA/Redmond/13403-Redmond-Way-98052/home/516635,August-27-2020,August-2020,98052,1943,961,1040
9624 169th Ave NE,https://www.redfin.com/WA/Redmond/9624-169th-Ave-NE-98052/home/323443,August-27-2020,August-2020,98052,1967,455,510
12612 237th Way NE,https://www.redfin.com/WA/Redmond/12612-237th-Way-NE-98053/home/443243,August-27-2020,August-2020,98053,2003,429,448
14106 NE 62nd St,https://www.redfin.com/WA/Redmond/14106-NE-62nd-St-98052/home/516483,August-28-2020,August-2020,98052,1972,609,659
4012 164th Ct NE,https://www.redfin.com/WA/Redmond/4012-164th-Ct-NE-98052/home/8186446,August-28-2020,August-2020,98052,2006,398,414
4511 223rd Pl NE,https://www.redfin.com/WA/Redmond/4419-223rd-Pl-NE-98053/home/446101,August-28-2020,August-2020,98053,1986,405,441
26715 NE 50th St,https://www.redfin.com/WA/Redmond/26715-NE-50th-St-98053/home/447141,August-28-2020,August-2020,98053,1987,317,352
17715 NE 107th Ct,https://www.redfin.com/WA/Redmond/17715-NE-107th-Ct-98052/home/325361,August-31-2020,August-2020,98052,1993,448,477
10205 162nd Ave NE,https://www.redfin.com/WA/Redmond/10205-162nd-Ave-NE-98052/home/325527,August-31-2020,August-2020,98052,1968,578,632
15068 NE 144th St,https://www.redfin.com/WA/Redmond/15068-NE-144th-St-98052/home/448457,August-31-2020,August-2020,98052,1989,422,455
18211 NE 100th Ct,https://www.redfin.com/WA/Redmond/18211-NE-100th-Ct-98052/home/324549,August-31-2020,August-2020,98052,1986,445,481
17234 NE 25th Way,https://www.redfin.com/WA/Redmond/17234-NE-25th-Way-98052/home/502606,September-1-2020,September-2020,98052,2001,459,480
13011 NE 98th Pl,https://www.redfin.com/WA/Kirkland/13011-NE-98th-Pl-98033/home/513219,September-1-2020,September-2020,98033,1993,610,639
11003 156th Pl NE,https://www.redfin.com/WA/Redmond/11003-156th-Pl-NE-98052/home/324505,September-1-2020,September-2020,98052,1975,407,454
21607 NE 92nd Pl,https://www.redfin.com/WA/Redmond/21607-NE-92nd-Pl-98053/home/445967,September-1-2020,September-2020,98053,1983,406,445
17187 NE 117th St,https://www.redfin.com/WA/Redmond/17187-NE-117th-St-98052/home/50269327,September-2-2020,September-2020,98052,2013,446,455
13622 Woodinville Redmond Rd NE,https://www.redfin.com/WA/Redmond/13622-Redmond-Woodinville-Rd-NE-98052/home/448378,September-2-2020,September-2020,98052,1947,574,649
15912 NE 120th St NE,https://www.redfin.com/WA/Redmond/15912-NE-120th-St-98052/home/168843335,September-2-2020,September-2020,98052,2020,433,435
8081 142nd Ave NE,https://www.redfin.com/WA/Redmond/8081-142nd-Ave-NE-98052/home/45451267,September-2-2020,September-2020,98052,2014,413,421
16026 NE 105th Ct,https://www.redfin.com/WA/Redmond/16026-NE-105th-Ct-98052/home/325671,September-2-2020,September-2020,98052,1980,574,616
15209 NE 73rd St,https://www.redfin.com/WA/Redmond/15209-NE-73rd-St-98052/home/515284,September-2-2020,September-2020,98052,1989,441,474
710 278th Ave NE,https://www.redfin.com/WA/Redmond/710-278th-Ave-NE-98053/home/466296,September-3-2020,September-2020,98053,1977,374,419
8109 134TH Pl NE,https://www.redfin.com/WA/Redmond/8109-134th-Pl-NE-98052/home/515848,September-3-2020,September-2020,98052,1968,568,622
12228 164th Ct NE,https://www.redfin.com/WA/Redmond/12228-164th-Ct-NE-98052/home/39905051,September-3-2020,September-2020,98052,2012,476,486
11700 134th Pl NE,https://www.redfin.com/WA/Redmond/11700-134th-Pl-NE-98052/home/512460,September-3-2020,September-2020,98052,1981,430,471
8668 233rd Pl NE,https://www.redfin.com/WA/Redmond/8668-233rd-Pl-NE-98053/home/2079641,September-4-2020,September-2020,98053,2004,447,465
2806 183rd Ave NE,https://www.redfin.com/WA/Redmond/2806-183rd-Ave-NE-98052/home/504345,September-4-2020,September-2020,98052,1973,527,576
11661 175th Pl NE,https://www.redfin.com/WA/Redmond/11661-175th-Pl-NE-98052/home/451591,September-4-2020,September-2020,98052,2003,435,454
17012 NE 93rd Ct,https://www.redfin.com/WA/Redmond/17012-NE-93rd-Ct-98052/home/323841,September-4-2020,September-2020,98052,1985,690,727
14214 NE 80th Pl,https://www.redfin.com/WA/Redmond/14214-NE-80th-Pl-98052/home/512264,September-4-2020,September-2020,98052,1963,676,735
13819 NE 97TH St 3,https://www.redfin.com/WA/Redmond/13819-NE-97TH-ST-98052/unit-3/home/172039323,September-4-2020,September-2020,98052,2020,462,464
2721 174th Ave NE,https://www.redfin.com/WA/Redmond/2721-174th-Ave-NE-98052/home/502337,September-4-2020,September-2020,98052,1978,361,405
21835 NE 104th Pl,https://www.redfin.com/WA/Redmond/21835-NE-104th-Pl-98053/home/444693,September-4-2020,September-2020,98053,1991,403,434
17226 NE 134th Pl,https://www.redfin.com/WA/Redmond/17226-NE-134th-Pl-98052/home/450970,September-8-2020,September-2020,98052,1981,331,372
20812 NE 89th St,https://www.redfin.com/WA/Redmond/20812-NE-89th-St-98053/home/444051,September-8-2020,September-2020,98053,1979,341,384
1821 180th Ave NE,https://www.redfin.com/WA/Bellevue/1821-180th-Ave-NE-98008/home/503647,September-8-2020,September-2020,98008,1976,384,430
10229 167th Pl NE,https://www.redfin.com/WA/Redmond/10229-167th-Pl-NE-98052/home/323907,September-9-2020,September-2020,98052,1976,416,462
17807 NE 117th Ct,https://www.redfin.com/WA/Redmond/17807-NE-117th-Ct-98052/home/39904446,September-9-2020,September-2020,98052,2020,378,380
21311 NE 101st Ct,https://www.redfin.com/WA/Redmond/21311-NE-101st-Ct-98053/home/443014,September-9-2020,September-2020,98053,1989,358,391
24037 NE 64th Ct,https://www.redfin.com/WA/Redmond/24037-NE-64th-Ct-98053/home/444365,September-9-2020,September-2020,98053,1989,378,411
16221 NE 109th St,https://www.redfin.com/WA/Redmond/16221-NE-109th-St-98052/home/324155,September-10-2020,September-2020,98052,1980,486,528
10536 Eastridge Ln NE,https://www.redfin.com/WA/Redmond/10536-Eastridge-Ln-NE-98053/home/44653928,September-10-2020,September-2020,98053,2012,394,404
18006 NE 103rd Ct,https://www.redfin.com/WA/Redmond/18006-NE-103rd-Ct-98052/home/324867,September-10-2020,September-2020,98052,1980,397,439
17410 NE 28th St,https://www.redfin.com/WA/Redmond/17410-NE-28th-St-98052/home/504425,September-10-2020,September-2020,98052,1991,495,526
17218 NE 115th Ct,https://www.redfin.com/WA/Redmond/17218-NE-115th-Ct-98052/unit-CTX/home/2116575,September-11-2020,September-2020,98052,2007,403,418
24626 NE 67th Pl,https://www.redfin.com/WA/Redmond/24626-NE-67th-Pl-98053/home/446591,September-11-2020,September-2020,98053,1994,699,727
15835 107th Way,https://www.redfin.com/WA/Redmond/15835-NE-107th-Way-98052/home/324393,September-11-2020,September-2020,98052,1981,495,536
8531 132nd Ave NE,https://www.redfin.com/WA/Kirkland/8531-132nd-Ave-NE-98033/home/513979,September-11-2020,September-2020,98033,2015,398,405
8212 255th Ave NE,https://www.redfin.com/WA/Redmond/8212-255th-Ave-NE-98053/home/12299306,September-11-2020,September-2020,98053,2007,436,451
9730 164th Ave NE,https://www.redfin.com/WA/Redmond/9730-164th-Ave-NE-98052/home/323451,September-11-2020,September-2020,98052,1960,399,461
17251 NE 36th St,https://www.redfin.com/WA/Redmond/17251-NE-36th-St-98052/home/502065,September-14-2020,September-2020,98052,1984,464,502
15808 NE 106th St,https://www.redfin.com/WA/Redmond/15808-NE-106th-St-98052/home/325174,September-14-2020,September-2020,98052,1978,452,496
13831 NE 97TH St 4,https://www.redfin.com/WA/Redmond/13831-NE-97TH-ST-98052/unit-4/home/172039329,September-14-2020,September-2020,98052,2020,515,517
12525 Avondale Rd NE,https://www.redfin.com/WA/Redmond/12525-Avondale-Rd-NE-98052/home/450433,September-14-2020,September-2020,98052,1973,324,373
9315 218th Ave NE,https://www.redfin.com/WA/Redmond/9315-218th-Ave-NE-98053/home/442878,September-15-2020,September-2020,98053,1988,369,403
9104 159th Pl NE 504,https://www.redfin.com/WA/Redmond/9104-159th-Pl-NE-98052/unit-504/home/13184,September-15-2020,September-2020,98052,1995,525,552
12075 159th Ct NE,https://www.redfin.com/WA/Redmond/12075-159th-Ct-NE-98052/home/168843338,September-15-2020,September-2020,98052,2020,422,424
14217 NE 67th Ct,https://www.redfin.com/WA/Redmond/14217-NE-67th-Ct-98052/home/515388,September-15-2020,September-2020,98052,1973,571,620
16728 NE 98th Pl,https://www.redfin.com/WA/Redmond/16728-NE-98th-Pl-98052/home/324023,September-16-2020,September-2020,98052,1965,454,511
12085 159th Ct NE,https://www.redfin.com/WA/Redmond/12085-159th-Ct-NE-98052/home/168843339,September-17-2020,September-2020,98052,2020,431,433
15720 NE 105th Ct,https://www.redfin.com/WA/Redmond/15720-NE-105th-Ct-98052/home/324603,September-18-2020,September-2020,98052,1978,482,526
8230 140th Ave NE,https://www.redfin.com/WA/Redmond/8230-140th-Ave-NE-98052/unit-A301/home/511391,September-18-2020,September-2020,98052,1987,575,610
15343 NE 106th Ct,https://www.redfin.com/WA/Redmond/15343-NE-106th-Ct-98052/home/2116667,September-18-2020,September-2020,98052,2008,404,418
13828 NE 97TH St 18,https://www.redfin.com/WA/Redmond/13828-NE-97TH-ST-98052/unit-18/home/172039324,September-18-2020,September-2020,98052,2020,508,510
11395 174th Ave NE,https://www.redfin.com/WA/Redmond/11395-174th-Ave-NE-98052/home/145530481,September-18-2020,September-2020,98052,2020,410,412
6529 154th Ave NE,https://www.redfin.com/WA/Redmond/6529-154th-Ave-NE-98052/home/516568,September-18-2020,September-2020,98052,1977,401,446
10736 177th Ct NE,https://www.redfin.com/WA/Redmond/10736-177th-Ct-NE-98052/home/323412,September-18-2020,September-2020,98052,1992,422,452
16401 NE 111th St,https://www.redfin.com/WA/Redmond/16401-NE-111th-St-98052/home/324609,September-20-2020,September-2020,98052,1978,522,566
13836 NE 97TH St 17,https://www.redfin.com/WA/Redmond/13836-NE-97TH-ST-98052/unit-17/home/171977101,September-21-2020,September-2020,98052,2020,479,481
