ADDRESS,URL,SOLD DATE,SOLD DATE MONTH,ZIP OR POSTAL CODE,YEAR BUILT,$/SQUARE FEET,$/SQUARE FEET Adjusted
2542 NE Kirkwood Pl,https://www.redfin.com/WA/Issaquah/2542-Kirkwood-Pl-98029/home/12448607,June-3-2021,June-2021,98029,2005,642,659
620 Kalmia Pl NW,https://www.redfin.com/WA/Issaquah/620-Kalmia-Pl-NW-98027/home/420857,June-3-2021,June-2021,98027,1980,513,555
18916 SE 44th Ct,https://www.redfin.com/WA/Issaquah/18916-SE-44th-Ct-98027/home/327172,June-3-2021,June-2021,98027,1979,639,682
24103 SE 45th Pl,https://www.redfin.com/WA/Issaquah/24103-SE-45th-Pl-98029/home/439629,June-4-2021,June-2021,98029,1987,517,552
20735 SE 132nd St,https://www.redfin.com/WA/Issaquah/20735-SE-132nd-St-98027/home/419809,June-4-2021,June-2021,98027,1988,520,554
1733 12th Ave NE,https://www.redfin.com/WA/Issaquah/1733-12th-Ave-NE-98029/home/465982,June-4-2021,June-2021,98029,2002,571,591
2547 NE Julep St,https://www.redfin.com/WA/Issaquah/2547-NE-Julep-St-98029/home/466738,June-4-2021,June-2021,98029,2003,569,588
12017 210th Pl SE,https://www.redfin.com/WA/Issaquah/12017-210th-Pl-SE-98027/home/419763,June-4-2021,June-2021,98027,1969,336,389
13026 229th Ave SE,https://www.redfin.com/WA/Issaquah/13026-229th-Ave-SE-98027/home/422236,June-4-2021,June-2021,98027,1980,351,393
236 SW Gibson Ln,https://www.redfin.com/WA/Issaquah/236-SW-Gibson-Ln-98027/home/421311,June-4-2021,June-2021,98027,2010,550,562
3831 242nd Ave SE,https://www.redfin.com/WA/Issaquah/3831-242nd-Ave-SE-98029/home/437167,June-7-2021,June-2021,98029,1988,620,654
17058 234th Way SE,https://www.redfin.com/WA/Maple-Valley/17058-234th-Way-SE-98038/home/424094,June-8-2021,June-2021,98038,1999,396,419
4625 247th Pl SE,https://www.redfin.com/WA/Issaquah/4625-247th-Pl-SE-98029/home/437516,June-8-2021,June-2021,98029,1989,594,627
492 Foothills Dr NW,https://www.redfin.com/WA/Issaquah/492-Foothills-Dr-NW-98027/home/170484290,June-8-2021,June-2021,98027,2021,554,555
1567 14th Pl NE,https://www.redfin.com/WA/Issaquah/1567-14th-Pl-NE-98029/home/44653910,June-8-2021,June-2021,98029,2012,503,513
455 E Sunset Way,https://www.redfin.com/WA/Issaquah/455-E-Sunset-Way-98027/home/22229944,June-9-2021,June-2021,98027,2021,442,443
4253 189th Ave SE,https://www.redfin.com/WA/Issaquah/4253-189th-Ave-SE-98027/home/326575,June-9-2021,June-2021,98027,1973,698,747
3170 NE Norton Ln,https://www.redfin.com/WA/Issaquah/3170-NE-Norton-Ln-98029/home/2072920,June-9-2021,June-2021,98029,2004,545,563
1183 Westridge (Lot 9) Way NE,https://www.redfin.com/WA/Issaquah/1183-Westridge-Way-NE-98027/home/174075371,June-10-2021,June-2021,98029,2021,454,455
961 NW Pickering St,https://www.redfin.com/WA/Issaquah/961-NW-Pickering-St-98027/home/106723628,June-10-2021,June-2021,98027,2017,477,482
4671 191st Ave SE,https://www.redfin.com/WA/Issaquah/4671-191st-Ave-SE-98027/home/327157,June-10-2021,June-2021,98027,1984,581,619
1412 Pine Crest Cir NE,https://www.redfin.com/WA/Issaquah/1412-Pine-Crest-Cir-NE-98029/home/55551354,June-10-2021,June-2021,98029,2014,550,558
1638 Falls Dr,https://www.redfin.com/WA/Issaquah/1638-NE-Falls-Dr-98029/home/44653852,June-10-2021,June-2021,98029,2013,607,616
23810 SE 33rd St,https://www.redfin.com/WA/Issaquah/23810-SE-33rd-St-98029/home/439198,June-10-2021,June-2021,98029,1980,547,589
4225 249th Ct SE,https://www.redfin.com/WA/Issaquah/4225-249th-Ct-SE-98029/home/438503,June-11-2021,June-2021,98029,1995,556,583
26417 SE Old Black Nugget Rd,https://www.redfin.com/WA/Issaquah/26417-SE-Old-Black-Nugget-Rd-98029/home/466064,June-11-2021,June-2021,98029,1959,338,401
4029 258th Way SE,https://www.redfin.com/WA/Issaquah/4029-258th-Way-SE-98029/home/440340,June-11-2021,June-2021,98029,1991,590,621
1145 Ridgewood Pl SW,https://www.redfin.com/WA/Issaquah/1145-Ridgewood-Pl-SW-98027/home/420718,June-11-2021,June-2021,98027,1988,509,543
24008 SE 111th St,https://www.redfin.com/WA/Issaquah/24008-SE-111th-St-98027/home/422515,June-11-2021,June-2021,98027,1966,437,493
