ADDRESS,URL,SOLD DATE,SOLD DATE MONTH,ZIP OR POSTAL CODE,YEAR BUILT,$/SQUARE FEET,$/SQUARE FEET Adjusted
9711 NE 204th Pl,https://www.redfin.com/WA/Bothell/9711-NE-204th-Pl-98011/home/286159,June-9-2017,June-2017,98011,1977,272,317
733 231st (3) St SE,https://www.redfin.com/WA/Bothell/733-231st-St-SE-98021/home/113677673,June-9-2017,June-2017,98021,2017,321,326
3529 210th Pl SE,https://www.redfin.com/WA/Bothell/3529-210th-Pl-SE-98021/home/2885176,June-9-2017,June-2017,98021,2000,214,236
16324 40th Dr SE,https://www.redfin.com/WA/Bothell/16324-40th-Dr-SE-98012/home/11881049,June-9-2017,June-2017,98012,2006,228,244
1100 204th Pl SE,https://www.redfin.com/WA/Bothell/1100-204th-Pl-SE-98012/home/2786360,June-9-2017,June-2017,98012,1979,283,326
21512 43rd (Lot 12) Dr SE,https://www.redfin.com/WA/Bothell/21512-43rd-Dr-SE-98021/home/113012400,June-9-2017,June-2017,98021,2017,276,281
203 176th Pl SW 27,https://www.redfin.com/WA/Bothell/203-176th-Pl-SW-98012/unit-27/home/177183688,June-9-2017,June-2017,98012,2017,307,312
19615 10th Dr SE,https://www.redfin.com/WA/Bothell/19615-10th-Dr-SE-98012/home/2849464,June-9-2017,June-2017,98012,1996,287,313
2906 166th Pl SE,https://www.redfin.com/WA/Bothell/2906-166th-Pl-SE-98012/home/2791977,June-12-2017,June-2017,98012,1982,250,290
23820 Carter Rd,https://www.redfin.com/WA/Bothell/23820-Carter-Rd-98021/home/28640905,June-12-2017,June-2017,98021,2009,257,270
8827 NE 203rd Pl,https://www.redfin.com/WA/Bothell/8827-NE-203rd-Pl-98011/home/283873,June-12-2017,June-2017,98011,2020,106,108
3905 171st St SE,https://www.redfin.com/WA/Bothell/3905-171st-St-SE-98012/home/54808977,June-12-2017,June-2017,98012,2013,318,327
24325 7th Pl W,https://www.redfin.com/WA/Bothell/24325-7th-Pl-W-98021/home/2706351,June-13-2017,June-2017,98021,1962,264,324
19634 110th Pl NE,https://www.redfin.com/WA/Bothell/19634-110th-Pl-NE-98011/home/285963,June-13-2017,June-2017,98011,1991,158,189
3514 184th Pl SE,https://www.redfin.com/WA/Bothell/3514-184th-Pl-SE-98012/home/22963014,June-13-2017,June-2017,98012,2007,217,232
4522 147th Pl SE,https://www.redfin.com/WA/Bothell/4522-147th-Pl-SE-98012/home/12107151,June-13-2017,June-2017,98012,2007,311,326
4312 186th. St SE,https://www.redfin.com/WA/Bothell/4312-186th-St-SE-98012/home/109219997,June-13-2017,June-2017,98012,2016,280,286
15934 99th (Homesite 4) Pl NE,https://www.redfin.com/WA/Bothell/15934-4th-Pl-W-Unknown/home/177707283,June-13-2017,June-2017,98011,2017,285,290
10323 NE 194th St,https://www.redfin.com/WA/Bothell/10323-NE-194th-St-98011/home/8186995,June-14-2017,June-2017,98011,2007,308,323
15822 99th(Homesite 44) Pl NE,https://www.redfin.com/WA/Bothell/15822-99th-Homesite-44-Pl-NE-98011/home/108970589,June-14-2017,June-2017,98011,2015,294,301
18010 44th Ave SE Lot 12,https://www.redfin.com/WA/Bothell/18010-44th-Ave-SE-98012/unit-12/home/177707273,June-14-2017,June-2017,98012,2017,218,223
1214 222nd Pl SW,https://www.redfin.com/WA/Bothell/1214-222nd-Pl-SW-98021/home/2811595,June-15-2017,June-2017,98021,1988,284,318
834 235th Pl SE 4,https://www.redfin.com/WA/Bothell/834-235th-Pl-SE-98021/unit-4/home/22960675,June-15-2017,June-2017,98021,2006,349,365
20212 86th Pl NE,https://www.redfin.com/WA/Bothell/20212-86th-Pl-NE-98011/home/21883846,June-15-2017,June-2017,98011,2010,293,305
19702 104th Ave NE,https://www.redfin.com/WA/Bothell/19702-104th-Ave-NE-98011/home/17360232,June-15-2017,June-2017,98011,2008,260,274
21205 42nd Ave SE 1,https://www.redfin.com/WA/Bothell/21205-42nd-Ave-SE-98021/unit-1/home/177183815,June-15-2017,June-2017,98021,2016,272,278
127 170th St SE,https://www.redfin.com/WA/Bothell/127-170th-St-SE-98012/home/2906634,June-16-2017,June-2017,98012,2003,213,232
114 176th Pl SW 2,https://www.redfin.com/WA/Bothell/114-176th-Pl-SW-98012/unit-2/home/177707332,June-16-2017,June-2017,98012,2017,253,258
24310 19th Ave SE,https://www.redfin.com/WA/Bothell/24310-19th-Ave-SE-98021/home/2805561,June-16-2017,June-2017,98021,1922,357,457
15625 119th Ave NE,https://www.redfin.com/WA/Bothell/15625-119th-Ave-NE-98011/home/454633,June-16-2017,June-2017,98011,1971,212,263
12701 NE 200th Pl,https://www.redfin.com/WA/Bothell/12701-NE-200th-Pl-98011/home/287461,June-16-2017,June-2017,98011,1988,348,382
16211 104th Ave NE,https://www.redfin.com/WA/Bothell/16211-104th-Ave-NE-98011/home/285038,June-16-2017,June-2017,98011,1995,336,363
12115 NE 164th St,https://www.redfin.com/WA/Bothell/12115-NE-164th-St-98011/home/455066,June-16-2017,June-2017,98011,1987,321,356
18106 28th Dr SE,https://www.redfin.com/WA/Bothell/18106-28th-Dr-SE-98012/home/2896008,June-16-2017,June-2017,98012,2002,247,267
4110 215th St SE,https://www.redfin.com/WA/Bothell/4110-215th-St-SE-98021/home/11884173,June-19-2017,June-2017,98021,2006,253,269
3417 177th Place SE,https://www.redfin.com/WA/Bothell/3417-177th-Pl-SE-98012/home/51566726,June-19-2017,June-2017,98012,2012,301,311
15421 49th Ave SE,https://www.redfin.com/WA/Bothell/15421-49th-Ave-SE-98012/home/2465872,June-19-2017,June-2017,98012,1977,284,329
18 175th Pl SW 35,https://www.redfin.com/WA/Bothell/18-175th-Pl-SW-98012/unit-35/home/177183965,June-20-2017,June-2017,98012,2017,232,237
4120 173rd Pl SE,https://www.redfin.com/WA/Bothell/4120-173rd-Pl-SE-98012/home/113532418,June-20-2017,June-2017,98012,2017,268,273
27 176th Pl SW 23,https://www.redfin.com/WA/Bothell/27-176th-Pl-SW-98012/unit-23/home/177184400,June-20-2017,June-2017,98012,2017,218,223
18605 41st Dr SE 38,https://www.redfin.com/WA/Bothell/18605-41st-Dr-SE-98012/unit-38/home/144408242,June-20-2017,June-2017,98012,2016,245,251
18707 35th Dr SE,https://www.redfin.com/WA/Bothell/18707-35th-Dr-SE-98012/home/2915765,June-21-2017,June-2017,98012,2005,244,261
20810 23rd Ave SE,https://www.redfin.com/WA/Bothell/20810-23rd-Ave-SE-98021/home/2832300,June-21-2017,June-2017,98021,1993,320,349
19513 109th Ct NE,https://www.redfin.com/WA/Bothell/19513-109th-Ct-NE-98011/home/59703594,June-21-2017,June-2017,98011,2016,255,261
13 175th Pl SE,https://www.redfin.com/WA/Bothell/13-175th-Pl-SE-98012/home/113720351,June-21-2017,June-2017,98012,2017,247,252
23232 27th Ave SE,https://www.redfin.com/WA/Bothell/23232-27th-Ave-SE-98021/home/2623064,June-21-2017,June-2017,98021,1993,243,272
19302 26th Ave SE 121,https://www.redfin.com/WA/Bothell/19302-26th-Ave-SE-98012/unit-121/home/2909236,June-21-2017,June-2017,98012,2004,255,273
17828 42nd Ave SE 27,https://www.redfin.com/WA/Bothell/17828-42nd-Ave-SE-98012/unit-27/home/144408238,June-21-2017,June-2017,98012,2017,264,269
23210 17th Ave SE,https://www.redfin.com/WA/Bothell/23210-17th-Ave-SE-98021/home/109080736,June-22-2017,June-2017,98021,2016,257,263
314 197th Pl SW,https://www.redfin.com/WA/Bothell/314-197th-Pl-SW-98012/home/2904877,June-22-2017,June-2017,98012,2005,257,274
