ADDRESS,URL,SOLD DATE,SOLD DATE MONTH,ZIP OR POSTAL CODE,YEAR BUILT,$/SQUARE FEET,$/SQUARE FEET Adjusted
3712 146th St SW 10,https://www.redfin.com/WA/Lynnwood/10-146th-St-SW-98087/unit-10/home/145299897,April-1-2020,April-2020,98087,2018,307,311
16523 60th Ave W,https://www.redfin.com/WA/Lynnwood/16523-60th-Ave-W-98037/home/2719089,April-2-2020,April-2020,98037,1976,233,279
4926 181st Pl SW,https://www.redfin.com/WA/Lynnwood/4926-181st-Pl-SW-98037/home/2763271,April-2-2020,April-2020,98037,1967,372,427
19718 S Danvers Rd,https://www.redfin.com/WA/Lynnwood/19718-S-Danvers-Rd-98036/home/2648942,April-2-2020,April-2020,98036,1980,369,411
2702 203rd St SW,https://www.redfin.com/WA/Lynnwood/2702-203rd-St-SW-98036/home/2823536,April-3-2020,April-2020,98036,1990,327,359
3604 138th St SW,https://www.redfin.com/WA/Lynnwood/3604-138th-St-SW-98087/home/2854346,April-3-2020,April-2020,98087,1997,271,296
2505 149th Pl SW,https://www.redfin.com/WA/Lynnwood/2505-149th-Pl-SW-98087/home/2901550,April-3-2020,April-2020,98087,2004,306,324
5721 208th St SW,https://www.redfin.com/WA/Lynnwood/5721-208th-St-SW-98036/home/2564905,April-6-2020,April-2020,98036,1963,349,408
2128 150 Pl SW,https://www.redfin.com/WA/Lynnwood/2128-150th-Pl-SW-98087/home/3034456,April-7-2020,April-2020,98087,2003,319,338
18211 Larch Way,https://www.redfin.com/WA/Lynnwood/18211-Larch-Way-98037/home/2645507,April-7-2020,April-2020,98037,1964,291,349
1921 Magnolia Rd,https://www.redfin.com/WA/Lynnwood/1921-Magnolia-Rd-98036/home/2645043,April-7-2020,April-2020,98036,1966,317,373
14804 Larch Way,https://www.redfin.com/WA/Lynnwood/14804-Larch-Way-98087/home/2656278,April-8-2020,April-2020,98087,1953,379,448
17729 11th Pl W,https://www.redfin.com/WA/Lynnwood/17729-11th-Pl-W-98037/home/11881929,April-8-2020,April-2020,98037,2006,268,284
16211 66TH Ave W,https://www.redfin.com/WA/Lynnwood/16211-66th-Ave-W-98037/home/2763610,April-8-2020,April-2020,98037,1963,257,316
5302 193rd Pl SW,https://www.redfin.com/WA/Lynnwood/5302-193rd-Pl-SW-98036/home/2668087,April-9-2020,April-2020,98036,1959,417,480
15324 20th Pl W,https://www.redfin.com/WA/Lynnwood/15324-20th-Pl-W-98087/home/2720861,April-9-2020,April-2020,98087,1970,359,411
14506 20th Ave W,https://www.redfin.com/WA/Lynnwood/14506-20th-Ave-W-98087/home/2891352,April-10-2020,April-2020,98087,2001,259,280
20728 2nd Ave W,https://www.redfin.com/WA/Lynnwood/20728-2nd-Ave-W-98036/home/54861476,April-10-2020,April-2020,98036,2014,253,261
702 170th Pl SW,https://www.redfin.com/WA/Lynnwood/702-170th-Pl-SW-98037/home/54808693,April-10-2020,April-2020,98037,2013,278,287
20708 10th Pl W,https://www.redfin.com/WA/Lynnwood/20708-10th-Pl-W-98036/home/45390214,April-13-2020,April-2020,98036,2012,329,339
14631 32nd Pl W,https://www.redfin.com/WA/Lynnwood/14631-32nd-Pl-W-98087/home/12177020,April-13-2020,April-2020,98087,2008,225,239
6200 182nd St SW,https://www.redfin.com/WA/Lynnwood/6200-182nd-St-SW-98037/home/2641840,April-13-2020,April-2020,98037,1960,396,458
5522 190th St SW,https://www.redfin.com/WA/Lynnwood/5522-190th-St-SW-98036/home/2667986,April-13-2020,April-2020,98036,1957,380,445
18624 67th Ave W,https://www.redfin.com/WA/Lynnwood/18624-67th-Ave-W-98037/home/2702067,April-14-2020,April-2020,98037,1956,341,407
18525 70th Ave W,https://www.redfin.com/WA/Lynnwood/18525-70th-Ave-W-98037/home/2805285,April-14-2020,April-2020,98037,1989,306,339
513 203rd Pl SW,https://www.redfin.com/WA/Lynnwood/513-203rd-Pl-SW-98036/home/82167501,April-14-2020,April-2020,98036,2015,241,248
20807 23rd Ave W,https://www.redfin.com/WA/Lynnwood/20807-23rd-Ave-W-98036/home/2689694,April-14-2020,April-2020,98036,1971,387,438
17700 Spruce Way,https://www.redfin.com/WA/Lynnwood/17700-Spruce-Way-98037/home/108540413,April-14-2020,April-2020,98037,2019,266,269
18225 17th Ave W Unit SPW34,https://www.redfin.com/WA/Lynnwood/18225-17th-Ave-W-98037/home/170231621,April-15-2020,April-2020,98037,2020,265,267
19224 8th Ave W,https://www.redfin.com/WA/Lynnwood/19224-8th-Ave-W-98036/home/169416504,April-15-2020,April-2020,98036,2020,283,285
5523 178th Pl SW,https://www.redfin.com/WA/Lynnwood/5523-178th-Pl-SW-98037/home/2787315,April-16-2020,April-2020,98037,1980,292,334
15716 2nd Ln W,https://www.redfin.com/WA/Lynnwood/15716-2nd-Ln-W-98087/home/112745026,April-17-2020,April-2020,98087,2016,303,309
